App.,Athlete,Representing,Birth/Death,Games,Period (age of first/last),Sport,Gold,Silver,Bronze,Total
7,Olufunke Oshonaike,Nigeria,1975,1996–2020,25 years (21/46),Table tennis,0.0,0.0,0.0,0
7,Aida Mohamed,Hungary,1976,1996–2020,25 years (20/45),Fencing,0.0,0.0,0.0,0
7,Olaf Tufte,Norway,1976,1996–2020,25 years (20/45),Rowing,2.0,1.0,1.0,4
7,Formiga,Brazil,1978,1996–2020,25 years (18/43),Football,0.0,2.0,0.0,2
7,Otryadyn Gündegmaa,Mongolia,1978,1996–2020,25 years (18/43),Shooting,0.0,1.0,0.0,1
7,Taizo Sugitani,/ Japan,1976,"1996–2016, 2024",28 years (20/48),Equestrian,0.0,0.0,0.0,0
7,Karin Donckers,Belgium,1971,"1992, 2000–2016, 2024",32 years (21/53),Equestrian,0.0,0.0,0.0,0
7,Simon Ammann,Switzerland,1981,1998–2022,24 years (16/40),Ski jumping,4.0,0.0,0.0,4
7,Timo Boll,Germany,1981,2000–2024,24 years (19/43),Table tennis,0.0,2.0,2.0,4
7,Teresa Portela,Spain,1982,2000–2024,24 years (18/42),Canoeing,0.0,1.0,0.0,1
7,Mélina Robert-Michon,France,1979,2000–2024,24 years (21/45),Athletics,0.0,1.0,0.0,1
7,Leuris Pupo,Cuba,1977,2000–2024,24 years (23/47),Shooting,1.0,1.0,0.0,2
6,Edgar Seligman,United Kingdom,1867–1958,"1908–1912, 1920–1932",20 years (23/43),Art competitions (2) and fencing (4),0.0,2.0,0.0,2
6,Magnus Konow,Norway,1887–1972,"1908–1912, 1920, 1928, 1936–1948",40 years (21/61),Sailing,2.0,1.0,0.0,3
6,Norman Armitage,/ United States,1907–1972,1928–1956,28 years (21/49),Fencing,0.0,0.0,1.0,1
6,Aladár Gerevich,"Kingdom of Hungary (2), Hungarian Republic (1) and Hungarian People's Republic (3)",1910–1991,1932–1960,28 years (22/50),Fencing,7.0,1.0,2.0,10
6,Janice York Romary,// United States,1927–2007,1948–1968,20 years (19/39),Fencing,0.0,0.0,0.0,0
6,Lia Manoliu,Socialist Republic of Romania,1932–1998,1952–1972,20 years (20/40),Athletics,1.0,0.0,2.0,3
6,Jerzy Pawłowski,Poland,1932–2005,1952–1972,20 years (20/40),Fencing,1.0,3.0,1.0,5
6,Hans Günter Winkler,United Team of Germany (3) and West Germany (3),1926–2018,1956–1976,20 years (20/40),Equestrian,5.0,1.0,1.0,7
6,William McMillan,/ United States,1929–2000,"1952, 1960–1976",20 years (27/47),Shooting,1.0,0.0,0.0,1
6,Adam Smelczyński,Poland,1930–2021,1956–1976,20 years (26/45),Shooting,0.0,1.0,0.0,1
6,Bill Hoskyns,Great Britain,1931–2013,1956–1976,20 years (25/45),Fencing,0.0,2.0,0.0,2
6,Frank Chapot,United States,1932–2016,1956–1976,20 years (24/44),Equestrian,0.0,2.0,0.0,2
6,Carl-Erik Eriksson,Sweden,1930-2023,1964–1984,20 years (34/54),Bobsleigh,0.0,0.0,0.0,0
